x,y,label
0.5656170564083033,0.6587297000162187,1
0.24710867439177397,0.38776609546129737,1
0.14303222753844325,0.7142406289553606,1
0.6736623526229624,0.026925968330022476,0
0.13782152841218143,0.15655284292429728,1
0.37065616816488056,0.9864829336235351,1
0.41550980465344,0.891563092107113,1
0.39734337685294596,0.8495221667210459,1
0.6323973741119153,0.7934075811148531,0
0.9597334592053237,0.9137985638589486,0
0.8278966926625283,0.8287470744996355,0
0.813137261229309,0.14645501746834688,0
0.0780812271451562,0.7316500168854748,1
0.993661886967037,0.5634384801990807,0
0.857610418596197,0.39166089595287445,0
0.8253278103487345,0.6206338035075463,0
0.4207037249024791,0.2884384714744985,1
0.0267977853710315,0.5563170522507982,1
0.7268402925269656,0.5825210891631427,0
0.2729698253158791,0.9827611410155392,1
0.27950978282565575,0.8053038258225156,1
0.8412399404612282,0.6218964255001597,0
0.8107926685590567,0.6645818132013924,0
0.7998471766436547,0.9355792773909422,0
0.3669007722276816,0.16639646271560693,1
0.5639308643828973,0.6694835106657379,1
0.9283017243813618,0.11282572007415814,0
0.629068250728948,0.022685753274109266,0
0.56422431762116,0.4080307612848145,0
0.7688710795232405,0.16912769974888375,0
0.16791731028308965,0.924134355738361,1
0.8691379345804647,0.6143010427579739,0
0.8818451498315114,0.7409670373204468,0
0.927528819582336,0.5404578246326126,0
0.06641565563855001,0.7497163319726989,1
0.6565879939774011,0.14683811272103875,0
0.9648491995384724,0.23850470997353612,0
0.723915257358657,0.5144281893067444,0
0.7934433219787097,0.02743565152672367,0
0.25729390544137454,0.6632459357685448,1
0.948965757145423,0.8982795448360872,0
0.5387334953339872,0.354450239694181,0
0.49023622137928613,0.37730091087213735,1
0.3358271860681772,0.9643966875729161,1
0.2770471063641001,0.10723846719231966,1
0.13859603185971048,0.3989936024295503,1
0.338179052984134,0.933417538439488,1
0.9639153211104504,0.8231489514219539,0
0.011952754960657286,0.7309553479282362,1
0.07696987574011438,0.8039494064992453,1
0.9577818251448735,0.7668814365409252,0
0.8431181263807056,0.5843865832357257,0
0.8124577728172088,0.6762546983453082,0
0.45697701346793096,0.8333268781066977,1
0.6565617028804608,0.5497887623168731,0
0.2132790622679821,0.7884694462297156,1
